Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,326.244,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,Loop_VITIS_LOOP_113_1_proc_U0,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_123_4_proc_U0,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_133_7_proc_U0,326.244,0.000,0.000,0.000
kernel_nlp_1,Block_for_end93_proc_U0,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_9_proc_U0,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_9_proc_U0/grp_Loop_VITIS_LOOP_141_9_proc_Pipeline_VITIS_LOOP_141_9_VITIS_LOOP_143_10_fu_945,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_9_proc_U0/grp_stage_M_fu_993,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_9_proc_U0/grp_stage_N_fu_1624,326.244,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_9_proc_U0/grp_Loop_VITIS_LOOP_141_9_proc_Pipeline_VITIS_LOOP_163_11_fu_1752,326.244,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000

