Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,846.071,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,Loop_VITIS_LOOP_111_1_proc_U0,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_121_4_proc_U0,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_131_7_proc_U0,846.071,0.000,0.000,0.000
kernel_nlp_1,Block_for_end106_proc_U0,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_10_proc_U0,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_10_proc_U0/grp_Loop_VITIS_LOOP_141_10_proc_Pipeline_VITIS_LOOP_141_10_VITIS_LOOP_142_11_fu_2713,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_10_proc_U0/grp_mm1_fu_2940,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_10_proc_U0/grp_ele_add_fu_3620,846.071,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_10_proc_U0/grp_Loop_VITIS_LOOP_141_10_proc_Pipeline_VITIS_LOOP_157_13_VITIS_LOOP_158_14_fu_4504,846.071,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem5,0.000,0.000,0.000,0.000

