Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,28.329,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,Loop_VITIS_LOOP_129_1_proc_U0,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_139_4_proc_U0,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_149_7_proc_U0,28.329,0.000,0.000,0.000
kernel_nlp_1,Block_for_end93_proc_U0,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_9_proc_U0,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_9_proc_U0/grp_Loop_VITIS_LOOP_157_9_proc_Pipeline_VITIS_LOOP_157_9_VITIS_LOOP_159_10_fu_8121,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_9_proc_U0/grp_Loop_VITIS_LOOP_157_9_proc_Pipeline_VITIS_LOOP_172_11_fu_8136,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_9_proc_U0/grp_compute_tmp_fu_8141,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_9_proc_U0/grp_compute_y_fu_16150,28.329,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_9_proc_U0/grp_Loop_VITIS_LOOP_157_9_proc_Pipeline_VITIS_LOOP_186_12_fu_16164,28.329,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000

