Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,1445.551,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_138_1_VITIS_LOOP_139_2_fu_3239,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_148_4_VITIS_LOOP_149_5_fu_3254,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_158_7_VITIS_LOOP_159_8_fu_3269,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_168_10_VITIS_LOOP_169_11_fu_3306,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_178_13_VITIS_LOOP_179_14_fu_3553,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_compute_sum_fu_3800,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_compute_sum_fu_3800/grp_compute_sum_Pipeline_l_j1_init_fu_712,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_compute_sum_fu_3800/grp_compute_sum_Pipeline_l_k1_k1_l_j1_fu_746,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_compute_sum_fu_3800/grp_compute_sum_Pipeline_l_j1_back_fu_858,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_update_C_fu_4082,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_update_C_fu_4082/grp_update_C_Pipeline_l_S_k_0_k_fu_7860,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_update_C_fu_4082/grp_update_C_Pipeline_l_S_j1_2_j11_fu_8602,1445.551,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_200_16_VITIS_LOOP_201_17_fu_4814,1445.551,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000

