Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,844.879,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,Loop_VITIS_LOOP_131_1_proc_U0,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_4_proc_U0,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_151_7_proc_U0,844.879,0.000,0.000,0.000
kernel_nlp_1,Block_for_end102_proc_U0,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_161_10_proc_U0,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_161_10_proc_U0/grp_Loop_VITIS_LOOP_161_10_proc_Pipeline_VITIS_LOOP_161_10_VITIS_LOOP_162_11_fu_6313,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_161_10_proc_U0/grp_update_C_fu_6560,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_161_10_proc_U0/grp_compute_sum_fu_7284,844.879,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_161_10_proc_U0/grp_Loop_VITIS_LOOP_161_10_proc_Pipeline_VITIS_LOOP_175_13_VITIS_LOOP_176_14_fu_11624,844.879,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000

