Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,404.268,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_859,404.268,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_61_4_fu_1016,404.268,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_69_6_fu_1028,404.268,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_95_8_fu_1045,404.268,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_111_9_VITIS_LOOP_112_10_fu_1064,404.268,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_376_11_VITIS_LOOP_377_12_fu_1238,404.268,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_496_13_fu_1417,404.268,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000

