Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,375.957,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_58_1_VITIS_LOOP_59_2_fu_747,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_68_4_fu_854,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_76_6_fu_871,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_84_8_fu_888,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_92_10_fu_905,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_119_12_VITIS_LOOP_120_13_fu_922,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_686_14_fu_1066,375.957,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_695_16_fu_1083,375.957,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000

