Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,187.778,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_tmp_fu_10424,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_tmp_fu_10424/grp_load_tmp_Pipeline_VITIS_LOOP_14_1_VITIS_LOOP_15_2_fu_1249,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_11031,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_11031/grp_load_A_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_1729,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_11878,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_11878/grp_load_B_Pipeline_VITIS_LOOP_36_1_VITIS_LOOP_37_2_fu_105,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_D_fu_11913,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_D_fu_11913/grp_load_D_Pipeline_VITIS_LOOP_47_1_VITIS_LOOP_48_2_fu_1369,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_12580,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_12580/grp_load_C_Pipeline_VITIS_LOOP_60_1_VITIS_LOOP_61_2_fu_929,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_13027,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_task2_fu_13631,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_14297,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_task3_fu_15771,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_store_tmp_fu_17475,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_store_tmp_fu_17475/grp_store_tmp_Pipeline_VITIS_LOOP_73_1_VITIS_LOOP_74_2_fu_1252,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_store_D_fu_18082,187.778,0.000,0.000,0.000
kernel_nlp_1,grp_store_D_fu_18082/grp_store_D_Pipeline_VITIS_LOOP_85_1_VITIS_LOOP_86_2_fu_1372,187.778,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_tmp,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_b,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_c,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_d,0.000,0.000,0.000,0.000

