Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,275.803,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_y_fu_8232,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_y_fu_8232/grp_load_y_Pipeline_VITIS_LOOP_14_1_fu_869,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_tmp_fu_8649,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_tmp_fu_8649/grp_load_tmp_Pipeline_VITIS_LOOP_23_1_fu_829,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_x_fu_9046,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_x_fu_9046/grp_load_x_Pipeline_VITIS_LOOP_32_1_fu_869,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_9463,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_9463/grp_load_A_Pipeline_VITIS_LOOP_41_1_VITIS_LOOP_42_2_fu_1689,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_10290,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_10704,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_task2_fu_11098,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_task3_fu_12722,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_store_tmp_fu_14346,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_store_tmp_fu_14346/grp_store_tmp_Pipeline_VITIS_LOOP_62_1_fu_3174,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_store_y_fu_14743,275.803,0.000,0.000,0.000
kernel_nlp_1,grp_store_y_fu_14743/grp_store_y_Pipeline_VITIS_LOOP_52_1_fu_3334,275.803,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_x,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_y,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_tmp,0.000,0.000,0.000,0.000

