Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,139.700,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_C_fu_8514,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_8514/grp_load_C_Pipeline_VITIS_LOOP_14_1_VITIS_LOOP_15_2_fu_2049,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_9521,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_9521/grp_load_A_Pipeline_VITIS_LOOP_27_1_VITIS_LOOP_28_2_fu_2049,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_10528,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_10528/grp_load_B_Pipeline_VITIS_LOOP_52_1_VITIS_LOOP_53_2_fu_249,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_10635,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_11641,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_11641/grp_task1_Pipeline_VITIS_LOOP_104_4_fu_21262,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_store_C_fu_13747,139.700,0.000,0.000,0.000
kernel_nlp_1,grp_store_C_fu_13747/grp_store_C_Pipeline_VITIS_LOOP_65_1_VITIS_LOOP_66_2_fu_2052,139.700,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_c,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_b,0.000,0.000,0.000,0.000

