Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,170.726,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_temp2_fu_6920,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_temp2_fu_6920/grp_load_temp2_Pipeline_VITIS_LOOP_14_1_VITIS_LOOP_15_2_fu_1969,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_7887,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_7887/grp_load_B_Pipeline_VITIS_LOOP_39_1_VITIS_LOOP_40_2_fu_1009,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_8374,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_8374/grp_load_A_Pipeline_VITIS_LOOP_64_1_VITIS_LOOP_65_2_fu_81,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_8397,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_8397/grp_load_C_Pipeline_VITIS_LOOP_81_1_VITIS_LOOP_82_2_fu_529,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_8644,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25768,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25778,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25788,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25798,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25808,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25818,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25828,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25838,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25848,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25858,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25868,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25878,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25888,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25898,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25908,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25918,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25928,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25938,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25948,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25958,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25968,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25978,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25988,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_25998,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26008,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26018,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26028,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26038,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26048,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26058,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26068,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26078,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26088,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26098,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26108,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26118,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26128,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26138,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26148,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26158,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26168,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26178,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26188,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26198,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26208,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26218,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26228,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26238,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26248,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26258,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26268,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26278,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26288,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26298,170.726,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_9608/grp_compute_operation_task1_fu_26308,170.726,0.000,0.000,0.000
