Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,231.730,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_C_fu_10354,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_10354/grp_load_C_Pipeline_VITIS_LOOP_14_1_VITIS_LOOP_15_2_fu_1969,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_11321,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_11321/grp_load_A_Pipeline_VITIS_LOOP_39_1_VITIS_LOOP_40_2_fu_1649,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_12128,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_12128/grp_load_B_Pipeline_VITIS_LOOP_56_1_VITIS_LOOP_57_2_fu_1649,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18766,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18776,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18786,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18796,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18806,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18816,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18826,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18836,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18846,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18856,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18866,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18876,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18886,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18896,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18906,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18916,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18926,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18936,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18946,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18956,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18966,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18976,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18986,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_18996,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19006,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19016,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19026,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19036,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19046,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19056,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19066,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19076,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19086,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19096,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19106,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19116,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19126,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19136,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19146,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19156,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19166,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19176,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19186,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19196,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19206,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19216,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19226,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19236,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19246,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19256,231.730,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12935/grp_compute_operation_task0_fu_19266,231.730,0.000,0.000,0.000
