Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_slr0_1,123.791,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_slr0_1,entry_proc13_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vC_for_task3_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vD_for_task3_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vB_for_task1_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vA_for_task1_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0/grp_read_B_FT0_fu_878,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0/grp_read_A_FT0_fu_1140,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0/grp_FT0_level1_fu_1228,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT1_level0_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT1_level0_U0/grp_read_C_FT1_fu_1042,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT1_level0_U0/grp_read_D_FT1_fu_1162,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT1_level0_U0/grp_FT1_level1_fu_1362,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT2_level0_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT2_level0_U0/grp_read_F_FT2_fu_2058,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,FT2_level0_U0/grp_FT2_level1_fu_2450,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,store_vE_for_task1_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,store_vF_for_task3_U0,123.791,0.000,0.000,0.000
kernel_nlp_slr0_1,store_vG_for_task5_U0,123.791,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_slr0_1,m_axi_kernel_ve_for_task1,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_va_for_task1,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_vb_for_task1,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_vf_for_task3,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_vc_for_task3,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_vd_for_task3,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_vg_for_task5,0.000,0.000,0.000,0.000

