Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,786.447,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,entry_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,Loop_l_S_buf0_buf0_l_0_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,Loop_l_S_buf1_buf1_l_0_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,Loop_l_S_buf2_buf2_l_0_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,Loop_l_S_buf3_buf3_l_0_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,mm1_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,mm1_U0/l_S_i0_j0_0_i0_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,mm2_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,mm2_U0/l_S_i1_j1_0_i1_proc_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,ele_add_U0,786.447,0.000,0.000,0.000
kernel_nlp_1,Loop_l_S_result4_result4_l_0_proc_U0,786.447,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000

