Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,45.126,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,entry_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_112_1_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_122_4_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_132_7_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_140_9_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Block_for_end122_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0/grp_Loop_VITIS_LOOP_148_11_proc_Pipeline_VITIS_LOOP_148_11_fu_10644,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0/grp_Loop_VITIS_LOOP_148_11_proc_Pipeline_VITIS_LOOP_156_13_fu_11061,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0/grp_stageS_fu_11458,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0/grp_stageQ_fu_12634,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0/grp_Loop_VITIS_LOOP_148_11_proc_Pipeline_VITIS_LOOP_176_15_fu_19610,45.126,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_148_11_proc_U0/grp_Loop_VITIS_LOOP_148_11_proc_Pipeline_VITIS_LOOP_185_17_fu_20027,45.126,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem5,0.000,0.000,0.000,0.000

