Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,72.938,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,Loop_VITIS_LOOP_121_1_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_133_4_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_141_6_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_149_8_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_157_10_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Block_for_end146_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_Loop_VITIS_LOOP_165_12_proc_Pipeline_VITIS_LOOP_165_12_VITIS_LOOP_167_13_fu_20183,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_Loop_VITIS_LOOP_165_12_proc_Pipeline_VITIS_LOOP_173_14_VITIS_LOOP_175_15_fu_20198,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_Loop_VITIS_LOOP_165_12_proc_Pipeline_VITIS_LOOP_198_16_VITIS_LOOP_199_17_fu_20213,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_stageA_fu_23420,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_stageB_fu_25034,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_Loop_VITIS_LOOP_165_12_proc_Pipeline_VITIS_LOOP_210_19_fu_29048,72.938,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_165_12_proc_U0/grp_Loop_VITIS_LOOP_165_12_proc_Pipeline_VITIS_LOOP_219_21_fu_29063,72.938,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem5,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem6,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem7,0.000,0.000,0.000,0.000

