Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,844.152,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,Loop_VITIS_LOOP_152_1_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_162_4_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_172_7_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_182_10_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_192_13_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Block_for_end186_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_202_16_proc_U0,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_202_16_proc_U0/grp_Loop_VITIS_LOOP_202_16_proc_Pipeline_VITIS_LOOP_202_16_VITIS_LOOP_203_17_fu_10169,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_202_16_proc_U0/grp_update_C_fu_10416,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_202_16_proc_U0/grp_compute_sum_fu_11140,844.152,0.000,0.000,0.000
kernel_nlp_1,Loop_VITIS_LOOP_202_16_proc_U0/grp_Loop_VITIS_LOOP_202_16_proc_Pipeline_VITIS_LOOP_215_19_VITIS_LOOP_216_20_fu_19336,844.152,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem5,0.000,0.000,0.000,0.000

