Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,1881.381,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_103_1_VITIS_LOOP_104_2_fu_206,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_113_4_VITIS_LOOP_114_5_fu_221,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_S0_fu_248,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_S0_fu_248/grp_S0_Pipeline_l_j1_init_fu_178,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_S0_fu_248/grp_S0_Pipeline_l_S_k1_0_k1_l_j1_fu_243,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_S0_fu_248/grp_S0_Pipeline_l_j1_back_fu_286,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_S1_fu_280,1881.381,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_126_7_VITIS_LOOP_127_8_fu_304,1881.381,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000

