Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,86.582,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_62_1_VITIS_LOOP_63_2_fu_1403,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_72_4_fu_1666,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_80_6_fu_1689,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_88_8_fu_1712,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_96_10_fu_1727,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_121_12_VITIS_LOOP_122_13_fu_1742,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_542_14_VITIS_LOOP_543_15_fu_2026,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_964_16_fu_2310,86.582,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_974_18_fu_2325,86.582,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem0,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000

