Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,431756.852,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_56_1_VITIS_LOOP_57_2_fu_501,431756.852,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_66_4_VITIS_LOOP_67_5_fu_523,431756.852,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_76_7_VITIS_LOOP_77_8_fu_560,431756.852,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_101_11_fu_597,431756.852,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_179_12_VITIS_LOOP_180_13_fu_619,431756.852,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem4,0.000,0.000,0.000,0.000

