Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,64367.369,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_54_1_VITIS_LOOP_55_2_fu_370,64367.369,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_64_4_VITIS_LOOP_65_5_fu_407,64367.369,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_83_8_fu_429,64367.369,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_161_9_VITIS_LOOP_162_10_fu_451,64367.369,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_1248_11_VITIS_LOOP_1249_12_fu_505,64367.369,0.000,0.000,0.000
kernel_nlp_1,grp_kernel_nlp_Pipeline_VITIS_LOOP_1259_14_VITIS_LOOP_1260_15_fu_542,64367.369,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_gmem2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_gmem3,0.000,0.000,0.000,0.000

