Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,254.791,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_E_fu_15566,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_E_fu_15566/grp_load_E_Pipeline_VITIS_LOOP_14_1_VITIS_LOOP_15_2_fu_1849,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_16473,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_16473/grp_load_B_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_209,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_16560,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_16560/grp_load_A_Pipeline_VITIS_LOOP_36_1_VITIS_LOOP_37_2_fu_1489,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_F_fu_17287,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_F_fu_17287/grp_load_F_Pipeline_VITIS_LOOP_53_1_VITIS_LOOP_54_2_fu_1449,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_17994,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_17994/grp_load_C_Pipeline_VITIS_LOOP_64_1_VITIS_LOOP_65_2_fu_449,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_D_fu_18201,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_D_fu_18201/grp_load_D_Pipeline_VITIS_LOOP_77_1_VITIS_LOOP_78_2_fu_749,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_G_fu_18558,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_load_G_fu_18558/grp_load_G_Pipeline_VITIS_LOOP_88_1_VITIS_LOOP_89_2_fu_1849,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_19465,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task2_fu_20369,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task4_fu_21073,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_21977,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_21977/grp_task1_Pipeline_VITIS_LOOP_160_4_fu_18748,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task3_fu_23681,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task3_fu_23681/grp_task3_Pipeline_VITIS_LOOP_204_4_fu_14448,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task5_fu_24935,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_task5_fu_24935/grp_task5_Pipeline_VITIS_LOOP_248_4_fu_20358,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_store_E_fu_27439,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_store_E_fu_27439/grp_store_E_Pipeline_VITIS_LOOP_99_1_VITIS_LOOP_100_2_fu_1852,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_store_F_fu_28346,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_store_F_fu_28346/grp_store_F_Pipeline_VITIS_LOOP_111_1_VITIS_LOOP_112_2_fu_1452,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_store_G_fu_29053,254.791,0.000,0.000,0.000
kernel_nlp_1,grp_store_G_fu_29053/grp_store_G_Pipeline_VITIS_LOOP_123_1_VITIS_LOOP_124_2_fu_1852,254.791,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_e,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_b,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_f,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_c,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_d,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_g,0.000,0.000,0.000,0.000

