Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,275.765,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_s_fu_9808,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_s_fu_9808/grp_load_s_Pipeline_VITIS_LOOP_14_1_fu_829,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_q_fu_10205,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_q_fu_10205/grp_load_q_Pipeline_VITIS_LOOP_23_1_fu_869,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_10622,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_10622/grp_load_A_Pipeline_VITIS_LOOP_32_1_VITIS_LOOP_33_2_fu_1689,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_r_fu_11449,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_r_fu_11449/grp_load_r_Pipeline_VITIS_LOOP_43_1_fu_869,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_p_fu_11866,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_load_p_fu_11866/grp_load_p_Pipeline_VITIS_LOOP_52_1_fu_829,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_12263,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_12657,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_task2_fu_13071,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_task3_fu_14695,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_store_s_fu_16319,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_store_s_fu_16319/grp_store_s_Pipeline_VITIS_LOOP_61_1_fu_3174,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_store_q_fu_16716,275.765,0.000,0.000,0.000
kernel_nlp_1,grp_store_q_fu_16716/grp_store_q_Pipeline_VITIS_LOOP_71_1_fu_3334,275.765,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_s,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_q,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_p,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_r,0.000,0.000,0.000,0.000

