Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,109.760,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_tmp_fu_9154,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_tmp_fu_9154/grp_load_tmp_Pipeline_VITIS_LOOP_14_1_fu_549,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_y_fu_9411,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_y_fu_9411/grp_load_y_Pipeline_VITIS_LOOP_23_1_fu_549,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_x_fu_9668,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_x_fu_9668/grp_load_x_Pipeline_VITIS_LOOP_32_1_fu_549,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_9925,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_9925/grp_load_A_Pipeline_VITIS_LOOP_41_1_VITIS_LOOP_42_2_fu_2049,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_10932,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_load_B_fu_10932/grp_load_B_Pipeline_VITIS_LOOP_52_1_VITIS_LOOP_53_2_fu_1049,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_11439,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_11693,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_task2_fu_11947,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_task3_fu_13451,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_task4_fu_14455,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_store_tmp_fu_14961,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_store_tmp_fu_14961/grp_store_tmp_Pipeline_VITIS_LOOP_63_1_fu_2054,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_store_y_fu_15218,109.760,0.000,0.000,0.000
kernel_nlp_1,grp_store_y_fu_15218/grp_store_y_Pipeline_VITIS_LOOP_73_1_fu_2054,109.760,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_b,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_tmp,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_x,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_y,0.000,0.000,0.000,0.000

