Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,115.625,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_y_1_fu_8188,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_y_1_fu_8188/grp_load_y_1_Pipeline_VITIS_LOOP_14_1_fu_81,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_8211,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_A_fu_8211/grp_load_A_Pipeline_VITIS_LOOP_37_1_VITIS_LOOP_38_2_fu_1649,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_x1_fu_9018,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_x1_fu_9018/grp_load_x1_Pipeline_VITIS_LOOP_62_1_fu_849,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_y_2_fu_9425,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_y_2_fu_9425/grp_load_y_2_Pipeline_VITIS_LOOP_85_1_fu_849,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_x2_fu_9832,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_load_x2_fu_9832/grp_load_x2_Pipeline_VITIS_LOOP_108_1_fu_849,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_10239,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_task1_fu_11459,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_store_x1_fu_13063,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_store_x1_fu_13063/grp_store_x1_Pipeline_VITIS_LOOP_131_1_fu_3254,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_store_x2_fu_13470,115.625,0.000,0.000,0.000
kernel_nlp_1,grp_store_x2_fu_13470/grp_store_x2_Pipeline_VITIS_LOOP_155_1_fu_3254,115.625,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_1,m_axi_kernel_x1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_x2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_y_1,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_y_2,0.000,0.000,0.000,0.000
kernel_nlp_1,m_axi_kernel_a,0.000,0.000,0.000,0.000

