Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,164.611,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_1,grp_load_C_fu_3936,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_load_C_fu_3936/grp_load_C_Pipeline_VITIS_LOOP_14_1_VITIS_LOOP_15_2_fu_1489,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14210,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14220,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14230,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14240,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14250,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14260,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14270,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14280,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14290,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14300,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14310,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14320,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14330,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14340,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14350,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14360,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14370,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14380,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14390,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14400,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14410,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14420,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14430,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14440,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14450,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14460,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14470,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14480,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14490,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14500,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14510,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14520,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14530,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14540,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14550,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14560,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14570,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14580,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14590,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14600,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14610,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14620,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14630,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14640,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14650,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14660,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14670,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14680,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14690,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14700,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14710,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14720,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14730,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14740,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14750,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14760,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14770,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14780,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14790,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14800,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14810,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14820,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14830,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14840,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14850,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14860,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14870,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14880,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14890,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14900,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14910,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14920,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14930,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14940,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14950,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14960,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14970,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14980,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_14990,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15000,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15010,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15020,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15030,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15040,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15050,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15060,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15070,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15080,164.611,0.000,0.000,0.000
kernel_nlp_1,grp_task0_fu_4663/grp_compute_operation_task0_fu_15090,164.611,0.000,0.000,0.000
