Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_slr0_1,77.834,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
kernel_nlp_slr0_1,load_vC_for_task0_U0,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vB_for_task0_U0,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vB_for_task0_U0/grp_load_vB_for_task0_Pipeline_VITIS_LOOP_47_1_fu_75,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,load_vA_for_task0_U0,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,entry_proc7_U0,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0/grp_read_A_FT0_fu_1206,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0/grp_read_C_FT0_fu_1462,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,FT0_level0_U0/grp_FT0_level1_fu_1630,77.834,0.000,0.000,0.000
kernel_nlp_slr0_1,store_vB_for_task0_U0,77.834,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
kernel_nlp_slr0_1,m_axi_kernel_vb_for_task0,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_va_for_task0,0.000,0.000,0.000,0.000
kernel_nlp_slr0_1,m_axi_kernel_vc_for_task0,0.000,0.000,0.000,0.000

